"","species","MaxT","MinT","lng","lat","Site","max_low_res","min_low_res","site.char","midpoint","max_index","min_index","max_T","min_T"
"35","Hesperocyon_gregarius",33.9,31.8,-103.099998,42.799999,17046,33.9,31.8,"site_17046",NA,NA,NA,33.9,31.8
"36","Hesperocyon_gregarius",33.9,31.8,-103.099998,42.799999,17047,33.9,31.8,"site_17047",NA,NA,NA,33.9,31.8
"37","Hesperocyon_gregarius",33.9,31.8,-103.800003,42.400002,17048,33.9,31.8,"site_17048",NA,NA,NA,33.9,31.8
"38","Hesperocyon_gregarius",33.9,31.8,-103.800003,42.400002,17049,33.9,31.8,"site_17049",NA,NA,NA,33.9,31.8
"39","Hesperocyon_gregarius",33.9,31.8,-103.800003,42.400002,17050,33.9,31.8,"site_17050",NA,NA,NA,33.9,31.8
"40","Hesperocyon_gregarius",33.9,31.8,-103.800003,42.400002,17052,33.9,31.8,"site_17052",NA,NA,NA,33.9,31.8
"41","Hesperocyon_gregarius",33.9,31.8,-104.5,43,17054,33.9,31.8,"site_17054",NA,NA,NA,33.9,31.8
"42","Hesperocyon_gregarius",33.9,31.8,-103.099998,42.799999,17062,33.9,31.8,"site_17062",NA,NA,NA,33.9,31.8
"43","Hesperocyon_gregarius",33.9,31.8,-104.5,43,17073,33.9,31.8,"site_17073",NA,NA,NA,33.9,31.8
"44","Hesperocyon_gregarius",33.9,31.8,-112.099998,46.599998,17074,33.9,31.8,"site_17074",NA,NA,NA,33.9,31.8
"45","Hesperocyon_gregarius",33.9,31.8,-103.800003,42.400002,17080,33.9,31.8,"site_17080",NA,NA,NA,33.9,31.8
"46","Hesperocyon_gregarius",33.9,31.8,-103.099998,40.799999,17081,33.9,31.8,"site_17081",NA,NA,NA,33.9,31.8
"47","Hesperocyon_gregarius",33.9,31.8,-103.099998,40.799999,17082,33.9,31.8,"site_17082",NA,NA,NA,33.9,31.8
"48","Hesperocyon_coloradensis",33.9,31.8,-103.099998,40.799999,17082,33.9,31.8,"site_17082",NA,NA,NA,33.9,31.8
"49","Hesperocyon_coloradensis",33.9,31.8,-103.099998,40.799999,17083,33.9,31.8,"site_17083",NA,NA,NA,33.9,31.8
"50","Hesperocyon_gregarius",33.9,31.8,-104.5,43,17087,33.9,31.8,"site_17087",NA,NA,NA,33.9,31.8
"51","Hesperocyon_gregarius",33.9,31.8,-112.800003,45,17090,33.9,31.8,"site_17090",NA,NA,NA,33.9,31.8
"52","Otarocyon_macdonaldi",33.9,31.8,-112.099998,46.599998,17091,33.9,31.8,"site_17091",NA,NA,NA,33.9,31.8
"53","Hesperocyon_gregarius",33.9,31.8,-102.5,43.299999,17092,33.9,31.8,"site_17092",NA,NA,NA,33.9,31.8
"54","Hesperocyon_gregarius",33.9,31.8,-102.5,43.299999,17094,33.9,31.8,"site_17094",NA,NA,NA,33.9,31.8
"55","Hesperocyon_gregarius",33.9,31.8,-103.099998,42.799999,17096,33.9,31.8,"site_17096",NA,NA,NA,33.9,31.8
"56","Mesocyon_temnodon",33.9,31.8,-102.5,43.299999,17097,33.9,31.8,"site_17097",NA,NA,NA,33.9,31.8
"57","Hesperocyon_gregarius",33.9,31.8,-103.099998,42.799999,17098,33.9,31.8,"site_17098",NA,NA,NA,33.9,31.8
"58","Hesperocyon_gregarius",33.9,31.8,-104.5,43,17099,33.9,31.8,"site_17099",NA,NA,NA,33.9,31.8
"59","Hesperocyon_gregarius",33.9,31.8,-102.800003,46.900002,17101,33.9,31.8,"site_17101",NA,NA,NA,33.9,31.8
"60","Osbornodon_renjiei",33.9,31.8,-102.800003,46.900002,17101,33.9,31.8,"site_17101",NA,NA,NA,33.9,31.8
"61","Hesperocyon_gregarius",33.9,31.8,-105.199997,42.900002,17104,33.9,31.8,"site_17104",NA,NA,NA,33.9,31.8
"62","Hesperocyon_gregarius",33.9,31.8,-105.199997,42.900002,17106,33.9,31.8,"site_17106",NA,NA,NA,33.9,31.8
"63","Hesperocyon_gregarius",33.9,31.8,-103.800003,42.400002,17107,33.9,31.8,"site_17107",NA,NA,NA,33.9,31.8
"64","Hesperocyon_gregarius",33.9,31.8,-103.800003,42.400002,17108,33.9,31.8,"site_17108",NA,NA,NA,33.9,31.8
"65","Hesperocyon_gregarius",33.9,31.8,-108.800003,49.599998,17111,33.9,31.8,"site_17111",NA,NA,NA,33.9,31.8
"66","Hesperocyon_gregarius",33.9,31.8,-103.800003,42.400002,17112,33.9,31.8,"site_17112",NA,NA,NA,33.9,31.8
"67","Hesperocyon_gregarius",33.9,31.8,-103.800003,42.400002,17114,33.9,31.8,"site_17114",NA,NA,NA,33.9,31.8
"68","Hesperocyon_gregarius",33.9,31.8,-104.199997,42,17117,33.9,31.8,"site_17117",NA,NA,NA,33.9,31.8
"69","Hesperocyon_gregarius",33.9,31.8,-104.5,43,17118,33.9,31.8,"site_17118",NA,NA,NA,33.9,31.8
"70","Hesperocyon_gregarius",33.9,31.8,-104.5,43,17123,33.9,31.8,"site_17123",NA,NA,NA,33.9,31.8
"71","Hesperocyon_gregarius",33.9,31.8,-102.800003,46.900002,17125,33.9,31.8,"site_17125",NA,NA,NA,33.9,31.8
"72","Hesperocyon_gregarius",33.9,31.8,-104.5,43,17126,33.9,31.8,"site_17126",NA,NA,NA,33.9,31.8
"73","Hesperocyon_gregarius",33.9,31.8,-102.800003,46.900002,17128,33.9,31.8,"site_17128",NA,NA,NA,33.9,31.8
"74","Hesperocyon_gregarius",33.9,31.8,-103.800003,41.799999,17135,33.9,31.8,"site_17135",NA,NA,NA,33.9,31.8
"75","Hesperocyon_gregarius",33.9,31.8,-112.800003,45,17138,33.9,31.8,"site_17138",NA,NA,NA,33.9,31.8
"76","Hesperocyon_gregarius",33.9,31.8,-102.800003,46.900002,17139,33.9,31.8,"site_17139",NA,NA,NA,33.9,31.8
"77","Hesperocyon_gregarius",33.9,31.8,-102.400002,43.900002,17143,33.9,31.8,"site_17143",NA,NA,NA,33.9,31.8
"78","Hesperocyon_gregarius",33.9,31.8,-104.5,43,17149,33.9,31.8,"site_17149",NA,NA,NA,33.9,31.8
"79","Hesperocyon_gregarius",33.9,31.8,-103.099998,42.799999,17155,33.9,31.8,"site_17155",NA,NA,NA,33.9,31.8
"80","Hesperocyon_gregarius",33.9,31.8,-103.800003,42.400002,17159,33.9,31.8,"site_17159",NA,NA,NA,33.9,31.8
"81","Hesperocyon_gregarius",33.9,31.8,-102.5,43.299999,17162,33.9,31.8,"site_17162",NA,NA,NA,33.9,31.8
"82","Hesperocyon_gregarius",33.9,31.8,-103.099998,42.799999,17164,33.9,31.8,"site_17164",NA,NA,NA,33.9,31.8
"83","Hesperocyon_gregarius",33.9,31.8,-104.5,43,17167,33.9,31.8,"site_17167",NA,NA,NA,33.9,31.8
"84","Hesperocyon_gregarius",33.9,31.8,-103.800003,42.400002,17168,33.9,31.8,"site_17168",NA,NA,NA,33.9,31.8
"85","Hesperocyon_gregarius",33.9,31.8,-102.5,43.299999,17169,33.9,31.8,"site_17169",NA,NA,NA,33.9,31.8
"86","Hesperocyon_gregarius",33.9,31.8,-104.5,43,17172,33.9,31.8,"site_17172",NA,NA,NA,33.9,31.8
"87","Hesperocyon_gregarius",33.9,31.8,-103.800003,42.400002,17176,33.9,31.8,"site_17176",NA,NA,NA,33.9,31.8
"88","Hesperocyon_gregarius",33.9,31.8,-103.099998,42.799999,17177,33.9,31.8,"site_17177",NA,NA,NA,33.9,31.8
"89","Hesperocyon_gregarius",33.9,31.8,-102.5,43.299999,17181,33.9,31.8,"site_17181",NA,NA,NA,33.9,31.8
"90","Hesperocyon_gregarius",33.9,31.8,-105.199997,42.900002,17185,33.9,31.8,"site_17185",NA,NA,NA,33.9,31.8
"91","Hesperocyon_gregarius",33.9,31.8,-102.5,43.299999,17192,33.9,31.8,"site_17192",NA,NA,NA,33.9,31.8
"92","Hesperocyon_gregarius",33.9,31.8,-104.5,43,17193,33.9,31.8,"site_17193",NA,NA,NA,33.9,31.8
"93","Hesperocyon_gregarius",33.9,31.8,-104.5,43,17194,33.9,31.8,"site_17194",NA,NA,NA,33.9,31.8
"94","Otarocyon_macdonaldi",33.9,31.8,-102.400002,43.900002,17195,33.9,31.8,"site_17195",NA,NA,NA,33.9,31.8
"95","Hesperocyon_gregarius",33.9,31.8,-104.5,43,17196,33.9,31.8,"site_17196",NA,NA,NA,33.9,31.8
"96","Hesperocyon_gregarius",33.9,31.8,-103.800003,41.799999,17201,33.9,31.8,"site_17201",NA,NA,NA,33.9,31.8
"97","Hesperocyon_gregarius",33.9,31.8,-103.800003,42.400002,17203,33.9,31.8,"site_17203",NA,NA,NA,33.9,31.8
"98","Hesperocyon_gregarius",33.9,31.8,-103.800003,42.400002,17204,33.9,31.8,"site_17204",NA,NA,NA,33.9,31.8
"99","Hesperocyon_gregarius",33.9,31.8,-103.800003,42.400002,17205,33.9,31.8,"site_17205",NA,NA,NA,33.9,31.8
"100","Hesperocyon_gregarius",33.9,31.8,-103.800003,42.400002,17206,33.9,31.8,"site_17206",NA,NA,NA,33.9,31.8
"101","Hesperocyon_gregarius",33.9,31.8,-103.800003,42.400002,17207,33.9,31.8,"site_17207",NA,NA,NA,33.9,31.8
"102","Hesperocyon_gregarius",33.9,31.8,-103.800003,42.400002,17211,33.9,31.8,"site_17211",NA,NA,NA,33.9,31.8
"103","Hesperocyon_gregarius",33.9,31.8,-103.800003,42.400002,17212,33.9,31.8,"site_17212",NA,NA,NA,33.9,31.8
"104","Hesperocyon_gregarius",33.9,31.8,-103.800003,42.400002,17216,33.9,31.8,"site_17216",NA,NA,NA,33.9,31.8
"105","Hesperocyon_gregarius",33.9,31.8,-103.800003,42.400002,17220,33.9,31.8,"site_17220",NA,NA,NA,33.9,31.8
"106","Hesperocyon_gregarius",33.9,31.8,-103.800003,42.400002,17221,33.9,31.8,"site_17221",NA,NA,NA,33.9,31.8
"107","Hesperocyon_gregarius",33.9,31.8,-103.800003,42.400002,17231,33.9,31.8,"site_17231",NA,NA,NA,33.9,31.8
"108","Hesperocyon_gregarius",33.9,31.8,-103.800003,42.400002,17232,33.9,31.8,"site_17232",NA,NA,NA,33.9,31.8
"109","Hesperocyon_gregarius",33.9,31.8,-103.800003,42.400002,17235,33.9,31.8,"site_17235",NA,NA,NA,33.9,31.8
"110","Hesperocyon_gregarius",33.9,31.8,-103.800003,42.400002,17237,33.9,31.8,"site_17237",NA,NA,NA,33.9,31.8
"111","Hesperocyon_gregarius",33.9,31.8,-103.800003,42.400002,17241,33.9,31.8,"site_17241",NA,NA,NA,33.9,31.8
"112","Hesperocyon_gregarius",33.9,31.8,-103.800003,42.400002,17247,33.9,31.8,"site_17247",NA,NA,NA,33.9,31.8
"113","Hesperocyon_gregarius",33.9,31.8,-103.800003,42.400002,17248,33.9,31.8,"site_17248",NA,NA,NA,33.9,31.8
"114","Hesperocyon_gregarius",33.9,31.8,-103.800003,42.400002,17257,33.9,31.8,"site_17257",NA,NA,NA,33.9,31.8
"115","Hesperocyon_gregarius",33.9,31.8,-103.800003,42.400002,17260,33.9,31.8,"site_17260",NA,NA,NA,33.9,31.8
"116","Hesperocyon_gregarius",33.9,31.8,-103.800003,42.400002,17265,33.9,31.8,"site_17265",NA,NA,NA,33.9,31.8
"117","Hesperocyon_gregarius",33.9,31.8,-103.800003,42.400002,17271,33.9,31.8,"site_17271",NA,NA,NA,33.9,31.8
"118","Hesperocyon_gregarius",33.9,31.8,-103.800003,42.400002,17273,33.9,31.8,"site_17273",NA,NA,NA,33.9,31.8
"119","Hesperocyon_gregarius",33.9,31.8,-103.800003,42.400002,17286,33.9,31.8,"site_17286",NA,NA,NA,33.9,31.8
"120","Hesperocyon_gregarius",33.9,31.8,-103.800003,42.400002,17287,33.9,31.8,"site_17287",NA,NA,NA,33.9,31.8
"121","Hesperocyon_gregarius",33.9,31.8,-103.800003,42.400002,17289,33.9,31.8,"site_17289",NA,NA,NA,33.9,31.8
"122","Hesperocyon_gregarius",33.9,31.8,-103.800003,42.400002,17290,33.9,31.8,"site_17290",NA,NA,NA,33.9,31.8
"123","Hesperocyon_gregarius",33.9,31.8,-103.800003,42.400002,17292,33.9,31.8,"site_17292",NA,NA,NA,33.9,31.8
"124","Hesperocyon_gregarius",33.9,31.8,-103.300003,46.400002,17301,33.9,31.8,"site_17301",NA,NA,NA,33.9,31.8
"125","Hesperocyon_gregarius",33.9,31.8,-104.5,43,17303,33.9,31.8,"site_17303",NA,NA,NA,33.9,31.8
"126","Archaeocyon_pavidus",31.8,29.5,-103.800003,42.400002,17305,31.8,29.5,"site_17305",NA,NA,NA,31.8,29.5
"127","Mesocyon_temnodon",31.8,29.5,-102.400002,43.900002,17309,31.8,29.5,"site_17309",NA,NA,NA,31.8,29.5
"128","Hesperocyon_gregarius",31.8,29.5,-102.5,42.700001,17310,31.8,29.5,"site_17310",NA,NA,NA,31.8,29.5
"129","Mesocyon_temnodon",31.8,29.5,-102.5,43.299999,17314,31.8,29.5,"site_17314",NA,NA,NA,31.8,29.5
"130","Mesocyon_temnodon",31.8,29.5,-101.900002,43.5,17315,31.8,29.5,"site_17315",NA,NA,NA,31.8,29.5
"131","Cynodesmus_thooides",31.8,29.5,-101.900002,43.5,17315,31.8,29.5,"site_17315",NA,NA,NA,31.8,29.5
"132","Archaeocyon_pavidus",31.8,29.5,-101.900002,43.5,17317,31.8,29.5,"site_17317",NA,NA,NA,31.8,29.5
"133","Osbornodon_sesnoni",31.8,29.5,-101.900002,43.5,17317,31.8,29.5,"site_17317",NA,NA,NA,31.8,29.5
"134","Mesocyon_temnodon",31.8,29.5,-103.099998,41.700001,17322,31.8,29.5,"site_17322",NA,NA,NA,31.8,29.5
"135","Cynodesmus_thooides",31.8,29.5,-103.099998,41.700001,17323,31.8,29.5,"site_17323",NA,NA,NA,31.8,29.5
"136","Hesperocyon_gregarius",31.8,29.5,-103.099998,42.799999,17325,31.8,29.5,"site_17325",NA,NA,NA,31.8,29.5
"137","Archaeocyon_pavidus",31.8,29.5,-103.099998,42.799999,17325,31.8,29.5,"site_17325",NA,NA,NA,31.8,29.5
"138","Oxetocyon_cuspidatus",31.8,29.5,-102.5,43.299999,17329,31.8,29.5,"site_17329",NA,NA,NA,31.8,29.5
"139","Mesocyon_temnodon",31.8,29.5,-102.400002,41.400002,17333,31.8,29.5,"site_17333",NA,NA,NA,31.8,29.5
"140","Mesocyon_temnodon",31.8,29.5,-104.199997,42,17335,31.8,29.5,"site_17335",NA,NA,NA,31.8,29.5
"141","Archaeocyon_leptodus",31.8,29.5,-104.199997,42,17335,31.8,29.5,"site_17335",NA,NA,NA,31.8,29.5
"142","Cynodesmus_thooides",31.8,29.5,-101.900002,43.5,17339,31.8,29.5,"site_17339",NA,NA,NA,31.8,29.5
"143","Ectopocynus_antiquus",31.8,29.5,-101.900002,43.5,17339,31.8,29.5,"site_17339",NA,NA,NA,31.8,29.5
"144","Mesocyon_temnodon",31.8,29.5,-102.5,43.299999,17342,31.8,29.5,"site_17342",NA,NA,NA,31.8,29.5
"145","Cynodesmus_thooides",31.8,29.5,-102.5,43.299999,17342,31.8,29.5,"site_17342",NA,NA,NA,31.8,29.5
"146","Cynodesmus_thooides",31.8,29.5,-102.5,43.299999,17343,31.8,29.5,"site_17343",NA,NA,NA,31.8,29.5
"147","Hesperocyon_gregarius",31.8,29.5,-102.5,43.299999,17344,31.8,29.5,"site_17344",NA,NA,NA,31.8,29.5
"148","Mesocyon_temnodon",31.8,29.5,-102.5,43.299999,17344,31.8,29.5,"site_17344",NA,NA,NA,31.8,29.5
"149","Cynodesmus_thooides",31.8,29.5,-102.5,43.299999,17345,31.8,29.5,"site_17345",NA,NA,NA,31.8,29.5
"150","Paraenhydrocyon_josephi",29.5,24.7,-119.633331,44.666668,17508,29.5,18.5,"site_17508",NA,NA,NA,29.5,18.5
"151","Cynarctoides_lemur",29.5,24.7,-119.633331,44.666668,17508,29.5,18.5,"site_17508",NA,NA,NA,29.5,18.5
"152","Phlaocyon_latidens",31.8,29.5,-119.616669,44.599998,17349,31.8,29.5,"site_17349",NA,NA,NA,31.8,29.5
"153","Archaeocyon_pavidus",31.8,29.5,-119.616669,44.599998,17349,31.8,29.5,"site_17349",NA,NA,NA,31.8,29.5
"154","Rhizocyon_oregonensis",29.5,24.7,-119.633331,44.666668,17508,29.5,18.5,"site_17508",NA,NA,NA,29.5,18.5
"155","Archaeocyon_pavidus",31.8,29.5,-103.199997,43.200001,17356,31.8,29.5,"site_17356",NA,NA,NA,31.8,29.5
"156","Mesocyon_temnodon",31.8,29.5,-103.199997,43.200001,17356,31.8,29.5,"site_17356",NA,NA,NA,31.8,29.5
"157","Mesocyon_temnodon",31.8,29.5,-103.099998,41.700001,17365,31.8,29.5,"site_17365",NA,NA,NA,31.8,29.5
"158","Mesocyon_temnodon",31.8,29.5,-102.5,43.299999,17367,31.8,29.5,"site_17367",NA,NA,NA,31.8,29.5
"159","Hesperocyon_gregarius",31.8,29.5,-103.800003,42.400002,17368,31.8,29.5,"site_17368",NA,NA,NA,31.8,29.5
"160","Oxetocyon_cuspidatus",31.8,29.5,-103.099998,41.700001,17374,31.8,29.5,"site_17374",NA,NA,NA,31.8,29.5
"161","Hesperocyon_gregarius",31.8,29.5,-103.099998,41.700001,17374,31.8,29.5,"site_17374",NA,NA,NA,31.8,29.5
"162","Archaeocyon_pavidus",31.8,29.5,-103.099998,41.700001,17374,31.8,29.5,"site_17374",NA,NA,NA,31.8,29.5
"163","Archaeocyon_leptodus",31.8,29.5,-103.800003,42.400002,17377,31.8,29.5,"site_17377",NA,NA,NA,31.8,29.5
"164","Mesocyon_temnodon",31.8,29.5,-102.5,43.299999,17379,31.8,29.5,"site_17379",NA,NA,NA,31.8,29.5
"165","Archaeocyon_pavidus",31.8,29.5,-102.400002,43.900002,17380,31.8,29.5,"site_17380",NA,NA,NA,31.8,29.5
"166","Oxetocyon_cuspidatus",31.8,29.5,-103.099998,41.700001,17391,31.8,29.5,"site_17391",NA,NA,NA,31.8,29.5
"167","Hesperocyon_gregarius",31.8,29.5,-103.800003,42.400002,17405,31.8,29.5,"site_17405",NA,NA,NA,31.8,29.5
"168","Oxetocyon_cuspidatus",31.8,29.5,-103.800003,42.400002,17423,31.8,29.5,"site_17423",NA,NA,NA,31.8,29.5
"169","Mesocyon_temnodon",31.8,29.5,-103.099998,40.799999,17426,31.8,29.5,"site_17426",NA,NA,NA,31.8,29.5
"170","Osbornodon_renjiei",31.8,29.5,-103.800003,42.400002,17427,31.8,29.5,"site_17427",NA,NA,NA,31.8,29.5
"171","Cynodesmus_thooides",31.8,29.5,-102.5,43.299999,17429,31.8,29.5,"site_17429",NA,NA,NA,31.8,29.5
"172","Cynodesmus_thooides",31.8,29.5,-101.900002,43.5,17431,31.8,29.5,"site_17431",NA,NA,NA,31.8,29.5
"173","Hesperocyon_gregarius",31.8,29.5,-103.300003,46.400002,17432,31.8,29.5,"site_17432",NA,NA,NA,31.8,29.5
"174","Osbornodon_sesnoni",31.8,29.5,-102.5,43.299999,17438,31.8,29.5,"site_17438",NA,NA,NA,31.8,29.5
"175","Leptocyon_vulpinus",23.1,18.5,-102.5,43.299999,17451,29.5,18.5,"site_17451",NA,NA,NA,29.5,18.5
"176","Paraenhydrocyon_robustus",23.1,18.5,-102.5,43.299999,17451,29.5,18.5,"site_17451",NA,NA,NA,29.5,18.5
"177","Enhydrocyon_crassidens",23.1,18.5,-102.5,43.299999,17455,29.5,18.5,"site_17455",NA,NA,NA,29.5,18.5
"178","Leptocyon_gregorii",23.1,18.5,-102.5,43.299999,17456,29.5,18.5,"site_17456",NA,NA,NA,29.5,18.5
"179","Cormocyon_copei",29.5,24.7,-103.099998,41.700001,17474,29.5,18.5,"site_17474",NA,NA,NA,29.5,18.5
"180","Cynodesmus_thooides",29.5,24.7,-103.099998,41.700001,17486,29.5,18.5,"site_17486",NA,NA,NA,29.5,18.5
"181","Leptocyon_mollis",29.5,24.7,-119.633331,44.666668,93078,29.5,18.5,"site_93078",NA,NA,NA,29.5,18.5
"182","Osbornodon_sesnoni",29.5,24.7,-119.633331,44.666668,93078,29.5,18.5,"site_93078",NA,NA,NA,29.5,18.5
"183","Paraenhydrocyon_josephi",29.5,24.7,-119.633331,44.666668,93078,29.5,18.5,"site_93078",NA,NA,NA,29.5,18.5
"184","Mesocyon_coryphaeus",29.5,24.7,-119.633331,44.666668,93078,29.5,18.5,"site_93078",NA,NA,NA,29.5,18.5
"185","Mesocyon_brachyops",29.5,24.7,-119.633331,44.666668,93078,29.5,18.5,"site_93078",NA,NA,NA,29.5,18.5
"186","Cynarctoides_lemur",29.5,24.7,-119.633331,44.666668,93078,29.5,18.5,"site_93078",NA,NA,NA,29.5,18.5
"187","Phlaocyon_latidens",29.5,24.7,-119.633331,44.666668,93078,29.5,18.5,"site_93078",NA,NA,NA,29.5,18.5
"188","Cormocyon_copei",29.5,24.7,-119.633331,44.666668,93078,29.5,18.5,"site_93078",NA,NA,NA,29.5,18.5
"189","Rhizocyon_oregonensis",29.5,24.7,-119.633331,44.666668,93078,29.5,18.5,"site_93078",NA,NA,NA,29.5,18.5
"190","Enhydrocyon_stenocephalus",29.5,24.7,-119.633331,44.666668,17508,29.5,18.5,"site_17508",NA,NA,NA,29.5,18.5
"191","Mesocyon_brachyops",29.5,24.7,-119.650002,44.666668,17537,29.5,18.5,"site_17537",NA,NA,NA,29.5,18.5
"192","Cormocyon_copei",29.5,24.7,-119.650002,44.666668,17537,29.5,18.5,"site_17537",NA,NA,NA,29.5,18.5
"193","Rhizocyon_oregonensis",29.5,24.7,-119.650002,44.666668,17537,29.5,18.5,"site_17537",NA,NA,NA,29.5,18.5
"194","Enhydrocyon_crassidens",24.7,23.1,-102.5,43.299999,17547,29.5,18.5,"site_17547",NA,NA,NA,29.5,18.5
"195","Enhydrocyon_pahinsintewakpa",24.7,23.1,-102.5,43.299999,17554,29.5,18.5,"site_17554",NA,NA,NA,29.5,18.5
"196","Enhydrocyon_pahinsintewakpa",24.7,23.1,-102.5,43.299999,17564,29.5,18.5,"site_17564",NA,NA,NA,29.5,18.5
"197","Philotrox_condoni",29.5,24.7,-101.900002,43.5,17592,29.5,18.5,"site_17592",NA,NA,NA,29.5,18.5
"198","Mesocyon_brachyops",27.82,23.03,-119.633331,44.700001,17603,29.5,18.5,"site_17603",NA,NA,NA,29.5,18.5
"199","Cormocyon_copei",27.82,23.03,-119.633331,44.700001,17603,29.5,18.5,"site_17603",NA,NA,NA,29.5,18.5
"200","Archaeocyon_leptodus",29.5,24.7,-102.5,43.299999,17607,29.5,18.5,"site_17607",NA,NA,NA,29.5,18.5
"201","Philotrox_condoni",29.5,24.7,-102.5,43.299999,17611,29.5,18.5,"site_17611",NA,NA,NA,29.5,18.5
"202","Philotrox_condoni",29.5,24.7,-102.5,43.299999,17618,29.5,18.5,"site_17618",NA,NA,NA,29.5,18.5
"203","Archaeocyon_leptodus",29.5,24.7,-102.5,43.299999,17627,29.5,18.5,"site_17627",NA,NA,NA,29.5,18.5
"204","Archaeocyon_leptodus",29.5,24.7,-102.5,43.299999,17629,29.5,18.5,"site_17629",NA,NA,NA,29.5,18.5
"205","Archaeocyon_leptodus",29.5,24.7,-102.5,43.299999,17630,29.5,18.5,"site_17630",NA,NA,NA,29.5,18.5
"206","Cynodesmus_thooides",29.5,24.7,-102.5,43.299999,17630,29.5,18.5,"site_17630",NA,NA,NA,29.5,18.5
